name_of_dish,ingredients,preparation_time,cooking_time,course,cuisine_state,method,url,flavour_type
Tandoori Broccoli,"broccoli, yogurt, ginger-garlic paste, red chilli, cumin, garam masala, oil, salt",30 minutes (marination),15 minutes,Starter,North Indian,"Cut broccoli into large florets and blanch briefly. | Mix thick yogurt with besan, tandoori masala and spices. | Coat broccoli in the marinade and rest for 30 minutes. | Place on a greased baking tray and roast at 200C. | Cook for 20 minutes until edges are charred. | Squeeze lemon juice over and serve immediately. | Garnish with chaat masala and onion rings.",https://www.vegrecipesofindia.com/wp-content/uploads/tandoori-broccoli-recipe.jpg,Smoky & Savory
Paneer Bhurji Sandwich,"paneer bhurji, bread, butter, green chutney, onion, tomato, cheese",10 minutes,10 minutes,Breakfast,North Indian,"Prepare paneer bhurji with spices. | Spread green chutney on bread. | Layer paneer bhurji, onion and tomato. | Add cheese slice. | Grill in sandwich maker. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/paneer-bhurji-sandwich-recipe.jpg,Spicy & Savory
Aloo Toast,"bread, boiled potato, onion, green chilli, coriander, mustard seeds, turmeric, butter, oil, salt",15 minutes,15 minutes,Breakfast,Maharashtra,"Boil and mash potatoes with spices, coriander and green chilli. | Spread the mixture generously on bread slices. | Brush the outside with oil or butter. | Toast on a hot tawa or pan until golden and crispy. | Flip carefully and toast the other side. | Cut diagonally and serve hot. | Accompany with green chutney or ketchup.",https://www.vegrecipesofindia.com/wp-content/uploads/aloo-toast-recipe.jpg,Crispy & Savory
Masala Omelette (Veg - Eggless),"besan, onion, tomato, green chilli, coriander, turmeric, ajwain, oil, salt",10 minutes,10 minutes,Breakfast,North Indian,"Make a thick batter with besan, water and a pinch of baking soda. | Add finely chopped onion, tomato, green chilli and coriander. | Mix in turmeric, red chilli powder and salt. | Heat oil in a pan and pour a ladleful of batter. | Spread into a round shape and cook on medium flame. | Flip and cook the other side until golden. | Serve hot with chutney or ketchup.",https://www.vegrecipesofindia.com/wp-content/uploads/eggless-omelette-recipe.jpg,Savory & Spiced
Sooji Uttapam,"semolina, yogurt, onion, tomato, green chilli, coriander, oil, salt",30 minutes (resting),15 minutes,Breakfast,South Indian,"Mix semolina with yogurt and water to make a thick batter. | Add salt and rest the batter for 30 minutes. | Heat a tawa and grease with oil. | Pour a ladleful of batter and spread gently. | Top with chopped onion, tomato and coriander. | Drizzle oil around edges and cook until golden. | Flip and cook briefly, then serve with chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/sooji-uttapam-recipe.jpg,Soft & Savory
Dosa Quesadilla,"dosa batter, paneer, capsicum, onion, cheese, coriander, spices, oil",15 minutes,15 minutes,Breakfast,Fusion,"Spread dosa batter thin on tawa. | Add paneer, capsicum, onion and cheese. | Fold over and cook until crisp. | Slice and serve hot with chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/dosa-quesadilla-recipe.jpg,Crispy & Savory
Masala Maggi,"Maggi noodles, onion, tomato, green chilli, vegetables, butter, coriander, salt",5 minutes,10 minutes,Snack,North Indian,"Saut̩ onion, green chilli and tomato in butter. | Add vegetables. | Add water and bring to boil. | Add Maggi and masala. | Cook until done. | Garnish with coriander. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/masala-maggi-recipe.jpg,Savory & Spiced
Cheesy Corn Toast,"bread, sweet corn, onion, green chilli, cheese, butter, black pepper, coriander, salt",10 minutes,10 minutes,Snack,Fusion,"Mix corn with onion, chilli, cheese and spices. | Spread on bread slices. | Bake or grill until cheese melts and bread is crisp. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/cheesy-corn-toast-recipe.jpg,Cheesy & Mild
Aloo Frankie,"wheat flour roti, spiced potato filling, onion, green chutney, tamarind chutney, chaat masala, coriander, salt",20 minutes,15 minutes,Snack,Maharashtra,"Prepare spiced potato filling. | Cook thin rotis on tawa. | Brush with oil and place filling. | Add onion, chutneys and chaat masala. | Roll tightly. | Wrap in foil and serve.",https://www.vegrecipesofindia.com/wp-content/uploads/aloo-frankie-recipe.jpg,Spicy & Tangy
Paneer Frankie,"wheat flour roti, paneer tikka filling, onion, green chutney, tamarind chutney, chaat masala, coriander",20 minutes,20 minutes,Snack,Maharashtra,"Marinate and grill paneer. | Cook thin rotis on tawa. | Brush with oil and place paneer. | Add onion, chutneys and chaat masala. | Roll tightly and serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/paneer-frankie-recipe.jpg,Spicy & Savory
Sprouts Salad,"mixed sprouts, tomato, cucumber, onion, lemon juice, chaat masala, coriander, green chilli, salt",15 minutes,0 minutes,Salad,North Indian,"Steam or use raw sprouts. | Add chopped tomato, cucumber and onion. | Toss with lemon juice and chaat masala. | Add coriander and green chilli. | Serve fresh.",https://www.vegrecipesofindia.com/wp-content/uploads/sprouts-salad-recipe.jpg,Fresh & Tangy
Kachumber Salad,"cucumber, onion, tomato, coriander, green chilli, lemon juice, roasted cumin, salt",10 minutes,0 minutes,Salad,North Indian,"Finely dice cucumber, onion and tomato. | Add chopped coriander and green chilli. | Squeeze lemon juice. | Add roasted cumin and salt. | Toss gently. | Serve fresh.",https://www.vegrecipesofindia.com/wp-content/uploads/kachumber-salad-recipe.jpg,Fresh & Crunchy
Macaroni Masala,"macaroni, onion, tomato, capsicum, ginger, garlic, coriander, garam masala, oil, salt",10 minutes,20 minutes,Main Course,Fusion,"Cook macaroni. | Saut̩ onion, ginger, garlic in oil. | Add tomato, capsicum and spices. | Add cooked macaroni and toss. | Garnish with coriander. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/macaroni-masala-recipe.jpg,Spicy & Savory
Bread Upma,"white bread, onion, tomato, green chilli, mustard seeds, curry leaves, turmeric, coriander, oil, salt",10 minutes,10 minutes,Breakfast,South Indian,"Tear bread into small pieces. | Temper mustard seeds and curry leaves. | Saut̩ onion, chilli and tomato. | Add bread pieces and turmeric. | Toss well. | Garnish with coriander. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/bread-upma-recipe.jpg,Savory & Mild
Pasta in Red Sauce,"pasta, tomatoes, onion, garlic, basil, oregano, cheese, olive oil, pepper, salt",10 minutes,20 minutes,Main Course,Fusion,"Boil pasta until al dente, drain and set aside. | Blanch tomatoes, peel and blend to a smooth puree. | Heat olive oil and saute garlic and onion. | Add tomato puree and cook until oil separates. | Add Italian herbs, salt and chilli flakes. | Add vegetables of choice and simmer. | Toss in pasta and serve hot with cheese.",https://www.vegrecipesofindia.com/wp-content/uploads/pasta-red-sauce-recipe.jpg,Tangy & Herby
White Sauce Pasta,"pasta, milk, butter, flour, cheese, garlic, mixed herbs, black pepper, salt",10 minutes,20 minutes,Main Course,Fusion,"Cook pasta. | Prepare b̩chamel with butter, flour and milk. | Add garlic, herbs and cheese. | Toss pasta in white sauce. | Season and serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/white-sauce-pasta-recipe.jpg,Creamy & Mild
Veg Burger,"burger bun, vegetable patty, cheese, onion, tomato, lettuce, mayo, ketchup, mustard",20 minutes,15 minutes,Snack,Fusion,"Prepare vegetable and bean patty and pan fry. | Toast burger buns. | Layer lettuce, patty, cheese, onion and tomato. | Add mayo, ketchup and mustard. | Serve immediately.",https://www.vegrecipesofindia.com/wp-content/uploads/veg-burger-recipe.jpg,Savory & Rich
Paneer Wrap,"wheat flour tortilla, paneer tikka, onion, capsicum, green chutney, cheese, chaat masala",15 minutes,15 minutes,Snack,Fusion,"Grill marinated paneer. | Warm tortilla on tawa. | Spread green chutney. | Add paneer, onion and capsicum. | Sprinkle chaat masala and cheese. | Roll tightly and serve.",https://www.vegrecipesofindia.com/wp-content/uploads/paneer-wrap-recipe.jpg,Spicy & Savory
Beetroot Tikki,"beetroot, potato, green chilli, ginger, cornflour, cumin, coriander, oil, salt",15 minutes,20 minutes,Starter,North Indian,"Boil and grate beetroot. | Boil and mash potatoes. | Mix beetroot, potato, breadcrumbs and spices. | Add ginger, green chilli and coriander. | Shape into round tikkis. | Shallow fry on a hot tawa with oil until crispy. | Serve with mint chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/beetroot-tikki-recipe.jpg,Earthy & Mild
Sweet Potato Tikki,"sweet potato, green chilli, ginger, coriander, cornflour, cumin, amchur, oil, salt",15 minutes,20 minutes,Starter,North Indian,"Boil and mash sweet potatoes. | Add breadcrumbs, cumin powder, chaat masala and salt. | Mix in chopped coriander and green chilli. | Shape into flat round patties. | Shallow fry in oil on a tawa until golden on both sides. | Drain and serve hot. | Accompany with tamarind and mint chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/sweet-potato-tikki-recipe.jpg,Sweet & Spiced
Banana Blossom Sabzi,"banana flower, coconut, onion, mustard seeds, green chilli, turmeric, curry leaves, oil, salt",30 minutes,25 minutes,Main Course,Tamil Nadu,"Clean banana flower and chop. | Soak in salted water to prevent browning. | Temper mustard seeds and curry leaves. | Add banana flower, onion and spices. | Cook until tender. | Add coconut and serve.",https://www.vegrecipesofindia.com/wp-content/uploads/banana-blossom-sabzi-recipe.jpg,Earthy & Mild
Tender Coconut Payasam,"tender coconut flesh, coconut water, sugar, cardamom, sago, milk",10 minutes,20 minutes,Dessert,Kerala,Scoop out tender coconut flesh and chop finely. | Boil coconut milk with sugar until dissolved. | Add cardamom powder and mix. | Add tender coconut pieces and the water. | Simmer for 5 minutes on low flame. | Chill thoroughly in refrigerator. | Serve cold garnished with cashews fried in ghee.,https://www.vegrecipesofindia.com/wp-content/uploads/tender-coconut-payasam-recipe.jpg,Sweet & Light
